id,host_id,price,neighbourhood,room_type,number_of_reviews,property_type,accommodates,bedrooms,bathrooms,price_raw,price_outlier_iqr
36299582,13141879,171.0,Kitsilano,Entire home/apt,109,Entire guest suite,2,0.0,1.0,$171.00,False
36306517,273045425,330.0,Kitsilano,Entire home/apt,126,Entire rental unit,2,1.0,1.0,$330.00,False
36360519,3037440,224.0,West Point Grey,Entire home/apt,112,Entire guest suite,4,2.0,1.0,$224.00,False
36479496,2738423,179.0,Grandview-Woodland,Entire home/apt,24,Entire condo,2,1.0,1.0,$179.00,False
36670366,275619946,90.0,Arbutus Ridge,Private room,445,Private room in home,2,1.0,1.0,$90.00,False
36839202,276743614,129.0,Arbutus Ridge,Private room,138,Private room in home,2,1.0,1.0,$129.00,False
36884302,23592991,422.0,Mount Pleasant,Entire home/apt,2,Entire rental unit,2,1.0,1.0,$422.00,False
36894206,182752945,142.0,Fairview,Private room,3,Private room in home,2,1.0,1.0,$142.00,False
36988462,277727201,159.0,Renfrew-Collingwood,Entire home/apt,188,Entire guest suite,6,2.0,1.0,$159.00,False
37057203,238954906,500.0,Downtown Eastside,Entire home/apt,110,Entire condo,4,2.0,2.0,$500.00,True
37063539,192924537,567.0,Kitsilano,Entire home/apt,114,Entire home,4,2.0,1.0,$567.00,True
37130562,159165445,191.0,Kitsilano,Entire home/apt,358,Entire guest suite,4,1.0,1.0,$191.00,False
37150050,197503967,136.0,Kensington-Cedar Cottage,Entire home/apt,190,Entire guest suite,2,1.0,1.0,$136.00,False
37163037,279629402,145.0,Downtown,Entire home/apt,26,Entire condo,2,1.0,1.0,$145.00,False
37209961,48396717,315.0,Kitsilano,Entire home/apt,6,Entire condo,3,2.0,2.0,$315.00,False
37260566,132646150,91.0,Oakridge,Private room,1,Private room in condo,2,1.0,1.0,$91.00,False
37261304,95217850,144.0,Downtown,Entire home/apt,3,Entire rental unit,2,1.0,1.0,$144.00,False
37321660,282667018,108.0,Riley Park,Private room,586,Private room in guesthouse,4,1.0,1.0,$108.00,False
37330480,281112898,148.0,Dunbar Southlands,Entire home/apt,207,Entire guest suite,2,1.0,1.0,$148.00,False
37331659,281145546,244.0,Downtown,Entire home/apt,134,Entire condo,4,1.0,1.0,$244.00,False
37394296,96064332,251.0,Kerrisdale,Entire home/apt,0,Entire home,6,3.0,2.0,$251.00,False
37403955,276982271,289.0,Downtown,Entire home/apt,172,Entire loft,5,1.0,1.0,$289.00,False
37493589,16073196,295.0,Kitsilano,Entire home/apt,67,Entire guest suite,4,2.0,1.0,$295.00,False
37526079,222864999,148.0,Kensington-Cedar Cottage,Entire home/apt,276,Entire guest suite,2,1.0,1.0,$148.00,False
37592253,284013208,159.0,Downtown Eastside,Entire home/apt,169,Entire home,3,1.0,1.0,$159.00,False
37662511,41746903,75.0,Downtown,Private room,5,Private room in condo,1,1.0,1.0,$75.00,False
37746138,254639639,55.0,Mount Pleasant,Entire home/apt,0,Entire condo,2,1.0,1.0,$55.00,False
37803333,5335111,228.0,Downtown Eastside,Entire home/apt,137,Entire rental unit,4,2.0,2.0,$228.00,False
37832890,130679392,472.0,Hastings-Sunrise,Entire home/apt,23,Entire home,8,4.0,1.5,$472.00,True
37887956,37514613,297.0,Downtown,Entire home/apt,149,Entire rental unit,6,2.0,2.0,$297.00,False
37904804,287146425,382.0,Riley Park,Entire home/apt,114,Entire home,6,3.0,1.0,$382.00,False
37911026,287170983,683.0,Dunbar Southlands,Entire home/apt,26,Entire guest suite,8,4.0,4.0,$683.00,True
37968155,134766121,544.0,Downtown,Entire home/apt,27,Entire condo,8,3.0,2.5,$544.00,True
38061672,187588818,74.0,Renfrew-Collingwood,Entire home/apt,345,Entire guest suite,2,1.0,1.0,$74.00,False
38067381,87675663,150.0,Downtown,Entire home/apt,7,Entire loft,2,1.0,1.0,$150.00,False
38131507,12622203,177.0,Kensington-Cedar Cottage,Entire home/apt,84,Entire guest suite,4,1.0,1.0,$177.00,False
38160401,289942416,79.0,West End,Entire home/apt,272,Entire rental unit,2,0.0,1.0,$79.00,False
